Date (Mon),Lecture (Mon),Lecture (Wed),Lab (Fri),Advanced Section (Wed),Assignment (R:Released Wed - D:Due Wed)
24-Jan,Lecture 1: Clustering 1,Lecture 2: Clustering 2,Lab 1,,R:HW1
31-Jan,Lecture 3: Bayes 1,Lecture 4: Bayes 2,, Advanced Section 1: Gaussian Mixture Models,
7-Feb,Lecture 5: Bayes 3,Lecture 6: Bayes 4,Lab 2 (+Lab 3 recording),,R:HW2 - D:HW1
14-Feb, Lecture 7: Bayes 5,Lecture 8: Neural Networks 1,Lab 4,Advanced Section 2: Particle Filters/Sequential Monte Carlo,
21-Feb,No Lectture (Holiday), Lecture 9: Neural Networks 2,Lab 5,Advanced Section 3: Universal Approximator,R:HW3 - D:HW2
28-Feb,Lecture 10: Neural Networks 3),Lecture 11: CNNs 1, Lab 6,Advanced Section 4: Solvers,
7-Mar,Lecture 12:CNNs 2,Lecture 13: CNNs 3,Lab 7,Advanced Section 5: Segmentation,R:HW4 - D:HW3
14-Mar,No Lecture (Spring Break), No Lecture, No Lab,,
21-Mar,Lecture 14: CNNs 4,Lecture 15: AUtoencoders,Lab 8,Review Session,
28-Mar,Lecture 16: RNNs 1,Lecture 17: RNNs 2,Lab 9,Advanced Section 6: Variational Autoencoders,R:HW5(Individual) - D:HW4
4-Apr,Lecture 18: NLP 1, Lecture 19: NLP 2,Lab 10,Advanced Section 7: Word2Vec,R:HW6(Individual) - D:HW5(Individual)
11-Apr,Lecture 20: NLP 3,Lecture 21: NLP 4, Lab 11,Advanced Section 8: BERT,
18-Apr,Lecture 22: GANs 1, Lecture 23: GANs 2,Lab 12,Advanced Section 9: More GANs!,D:HW6(Individual) - R:HW7
25-Apr,Module: Lecture Domain, Module: Problem Background,Project Work,,D:HW7
2-May,Project Work,Project Work,Project Submission Due,,
9-May,Peer Evaluations Due,,Final Project Showcase,,
